Theodor-Heuss-Straße | from 21509749 → 265590631
Theodor-Heuss-Straße | from 21509749 → 265612277
Leingartener Straße | from 21509749 → 30700906
Schlossweg | from 265590631 → 265612304
Theodor-Heuss-Straße | from 265590631 → 21509749
Theodor-Heuss-Straße | from 265590631 → 264285315
Am Wasserturm | from 265612277 → 1071285584
Theodor-Heuss-Straße | from 265612277 → 265612292
Theodor-Heuss-Straße | from 265612277 → 21509749
Felsenstraße | from 30700906 → 264285297
Leingartener Straße | from 30700906 → 140344549
Leingartener Straße | from 30700906 → 21509749
Schaeuffelenstraße | from 21509851 → 1558436882
Schaeuffelenstraße | from 1558436882 → 629520817
Sichererstraße | from 1558436882 → 2725213491
Theodor-Heuss-Straße | from 21509865 → 3845746007
Theodor-Heuss-Straße | from 3845746007 → 21509865
Theodor-Heuss-Straße | from 3845746007 → 140344639
Theodor-Heuss-Straße | from 3845746007 → 265612292
Neckartalstraße | from 21509874 → 94655057
Neue Straße | from 94655057 → 21740366
Neckartalstraße | from 94655057 → 21740384
Burenstraße | from 21509893 → 683971004
Paulinenstraße | from 21509893 → 622113332
Kreuzenstraße | from 21509893 → 445401179
Paulinenstraße | from 683971004 → 535221771
Burenstraße | from 683971004 → 683971002
Paulinenstraße | from 622113332 → 21509851
Pestalozzistraße | from 622113332 → 622113341
Am Sülmertor | from 445401179 → 32683124
Kreuzenstraße | from 445401179 → 535245618
Saarlandstraße | from 21509915 → 21777104
['Peter-Bruckmann-Brücke', 'Saarlandstraße'] | from 21509915 → 3834511299
Unnamed | from 21777104 → 989198333
Saarlandstraße | from 21777104 → 1535175072
['Peter-Bruckmann-Brücke', 'Saarlandstraße'] | from 3834511299 → 21509915
['Karl-Nägele-Brücke', 'Fügerstraße'] | from 3834511299 → 2859281090
Kalistraße | from 3834511299 → 1183810855
Kreuzenstraße | from 21509927 → 432825468
Kreuzenstraße | from 21509927 → 21730296
Neckarsulmer Straße | from 21509927 → 535213858
Kreuzenstraße | from 432825468 → 21509927
Neckarsulmer Straße | from 432825468 → 540170250
Kreuzenstraße | from 21730296 → 21730297
Kreuzenstraße | from 21730296 → 21509927
Kreuzenstraße | from 21730296 → 361202097
Käferflugstraße | from 535213858 → 1558436919
Hebbelstraße | from 535213858 → 21730297
Neckarsulmer Straße | from 535213858 → 1026132161
Schloßstraße | from 21510905 → 367972677
Schloßstraße | from 21510905 → 29817431
